Kode;Komponen;Satuan;Harga_Dasar;Kategori
;Kayu balok 6/15 kelas II;m3;11950000;Material
;Kayu balok 6/15 kelas II (batang);batang;314000;Material
;Tiang kayu 8/12 kelas II tinggi 4m;m3;6500000;Material
;Tiang kayu 5/7 kelas II tinggi 3m;m3;6500000;Material
;Kaso 5/7;m3;6500000;Material
;Kaso 5/7 kayu kelas II;m3;6500000;Material
;Kayu kaso 5/7 kelas III;m3;3500000;Material
;Kayu Meranti (papan);m³;6966600;Material
;Papan Kayu ukuran 2/20 cm;m3;2500000;Material
;Papan Cor ;m3;2500000;Material
;Kayu papan 3/20 cm;m3;2825000;Material
;Kayu papan kelas I;m3;26000000;Material
;Kayu papan kelas II;m3;7500000;Material
;Kayu papan kelas III;m3;5000000;Material
;Kayu Papan tebal 9 mm;M3;4750000;Material
;Kayu papan kelas III (m2);m2;160000;Material
;Kayu sengon (balok);m3;4000000;Material
;Kayu Sengon (papan);m³;3573600;Material
;List kayu 2x4 cm;m3;6000000;Material
;List kayu profil;m';5000;Material
;List kayu profil kelas II;M;5500;Material
;Multiplek tebal 4 mm;lembar;116700;Material
;Multiplek tebal 9 mm;lembar;116700;Material
;Multiplek tebal 12 mm;lembar;152600;Material
;Multiplek tebal 18 mm;lembar;226600;Material
;Perancah kayu;m3;2500000;Material
;Phenol film 12mm;lembar;230000;Material
;Pintu Double teakwood rangka kayu;m2;150000;Material
;Pintu panel kayu lapis timbal uk. 1x2 m;unit;10000000;Material
;Plywood 12 mm;lembar;167300;Material
;Plywood 4 mm m3;m3;6298700;Material
;Plywood 3 mm;lembar;62500;Material
;Plywood 4 mm;lembar;75000;Material
;Plywood 6 mm;lembar;84200;Material
;Plywood 9 mm (120x240);lembar;127000;Material
;Reng 2x3 cm;m3;8750000;Material
;Reng 3x4 cm;m3;9302000;Material
;Teakwood 4 mm (120x240);lembar;76300;Material
;Teakwood 4 mm (90x210);lembar;65600;Material
;Teakwood 9 mm (90x210);lembar;114000;Material
;Tripleks  t=9mm;lembar;101200;Material
;Veeneer tebal 2 mm;m2;150000;Material
MATERIAL PIPA PVC DAN HDPE;;;;Material
;Assesoris  PVC;m';5700;Material
;Pipa HDPE 40/33 mm;m';13300;Material
;"Pipa PVC  tipe D Ø 2""";m';23500;Material
;"Pipa PVC AW Ø 1""";m';11250;Material
;"PIPA PVC AW ; DN. 1""
(25 mm) dan
aksesoris";m';11500;Material
;"Pipa PVC AW ; DN. 1""
(25 mm) + fitting &
aksesoris";m';11700;Material
;"Pipa PVC AW Ø 1/2""";batang;27500;Material
;"Pipa PVC AW Ø 1/2"" (m)";m';6875;Material
;"PIPA PVC AW ; DN.
1/2"" (15 mm) dan
aksesoris";m';6900;Material
;"Pipa PVC AW ; DN.
1/2"" (15 mm) +
fitting & aksesoris";m';7100;Material
;"Pipa PVC AW Ø 10""";m';150000;Material
;"Pipa PVC AW Ø 1-1/2""";m';20000;Material
;"PIPA PVC AW ; DN. 1-
1/2"" (40 mm) dan
aksesoris";m';20500;Material
;"Pipa PVC AW ; DN. 1-
1/2"" (40 mm) +
fitting & aksesoris";m';22000;Material
;"Pipa PVC AW Ø 1-1/4""";m';18500;Material
;"PIPA PVC AW ; DN. 1-
1/4"" (32 mm) dan
aksesoris";m';18900;Material
;"Pipa PVC AW ; DN. 1-
1/4"" (32 mm) +
fitting & aksesoris";m';19000;Material
;"Pipa PVC AW Ø 12""";m';177500;Material
;"Pipa PVC AW ; DN. 12"" (300 mm) + fitting & aksesoris";m';179000;Material
;"Pipa PVC AW Ø 14""";m';200000;Material
;"Pipa PVC AW ; DN. 14"" (350 mm) + fitting & aksesoris";m';201000;Material
;"Pipa PVC AW Ø 16""";m';233750;Material
;"Pipa PVC AW ; DN. 16"" (400 mm) + fitting & aksesoris";m';234000;Material
;"Pipa PVC AW Ø 2""";m';26000;Material
;"PIPA PVC AW ; DN. 2""
(50 mm) dan
aksesoris";m';26500;Material
;"Pipa PVC AW ; DN. 2"" (50 mm) + fitting & aksesoris";m';28000;Material
;"Pipa PVC AW Ø 2-1/2""";m';33625;Material
;"PIPA PVC AW ; DN. 2-
1/2"" (65 mm) dan
aksesoris";m';33900;Material
;"Pipa PVC AW ; DN. 2-1/2"" (65 mm) + fitting & aksesoris";m';40000;Material
;"Pipa PVC AW Ø 3""";m';51075;Material
;"PIPA PVC AW ; DN. 3""
(80 mm) dan
aksesoris";m';51500;Material
;"Pipa PVC AW ; DN. 3""
(80 mm) + fitting &
aksesoris";m';53000;Material
;"Pipa PVC AW Ø 3/4""";batang;35000;Material
;"Pipa PVC AW Ø 3/4"" (m)";m';8750;Material
;"PIPA PVC AW ; DN.
3/4"" (20 mm) dan
aksesoris";m';8900;Material
;"Pipa PVC AW ; DN.
3/4"" (20 mm) +
fitting & aksesoris";m';9300;Material
;"Pipa PVC AW Ø 4""";m';72375;Material
;"PIPA PVC AW ; DN. 4""
(100 mm) dan
aksesoris";m';72700;Material
;"Pipa PVC AW ; DN. 4""
(100 mm) + fitting &
aksesoris";m';74000;Material
;"Pipa PVC AW Ø 5""";m';100000;Material
;"Pipa PVC AW ; DN. 5""
(125 mm) + fitting &
aksesoris";m';101000;Material
;"Pipa PVC AW Ø 6""";m';107500;Material
