Kode;Komponen;Satuan;Harga_Dasar;Kategori
;"PVC  Ø 3""  s  12,5 tekanan nominal 10 bar (1,0 mpa) 6m";batang;423300;Material
;"PVC  Ø 3/4""  s  10 tekanan nominal 10 bar (1,0 mpa) 4m";batang;33400;Material
;"PVC  Ø 4""  s  12,5 tekanan nominal 10 bar (1,0 mpa) 6m";batang;641300;Material
;"PVC  Ø 6""  s  12,5 tekanan nominal 10 bar (1,0 mpa) 6m";batang;1823000;Material
;"PVC  Ø 8""  s  12,5 tekanan nominal 10 bar (1,0 mpa) 6m";batang;2043200;Material
;MATERIAL PIPA GALVANIS;;;Material
;Assesoris  galvanis;m';5500;Material
;"Pipa  galvanis medium B Ø  1  1/2"" panjang  6  m";batang;405700;Material
;"Pipa  galvanis medium B Ø  1"" panjang  6  m";batang;263000;Material
;"Pipa  galvanis medium B Ø  1/2"" panjang  6  m";m';24400;Material
;"Pipa  galvanis medium B Ø  2  1/2"" panjang  6  m";batang;550000;Material
;"Pipa  galvanis medium B Ø  3"" panjang  6  m";batang;1035100;Material
;"Pipa  galvanis medium B Ø  3/4"" panjang  6  m";batang;181200;Material
;"Pipa  galvanis medium B Ø  4"" panjang  6  m";batang;1475300;Material
;"Pipa besi stainless  steel Ø1""  t=1.5 mm";m';44800;Material
;"Pipa besi stainless  steel Ø2""  t=1.5 mm";m';92400;Material
;"Pipa galvanis  medium A Ø 1 1/2""  panjang 6 m";batang;461800;Material
;"Pipa galvanis  medium A Ø 1""  panjang 6 m";batang;266100;Material
;"Pipa galvanis  medium A Ø 1/2""  panjang 6 m";batang;132500;Material
;"Pipa galvanis  medium A Ø 2""  panjang 6 m";batang;528600;Material
;"Pipa galvanis  medium A Ø 3""  panjang 6 m";batang;1021000;Material
;"Pipa galvanis  medium A Ø 3/4""  panjang 6 m";batang;177900;Material
;"Pipa galvanis  medium A Ø 4""  panjang 6 m";batang;1487200;Material
;"Pipa galvanis  medium A Ø 5""  panjang 6 m";batang;1981200;Material
;"Pipa galvanis  medium A Ø 6""  panjang 6 m";batang;1558300;Material
;"Pipa galvanis  medium A Ø 8""  panjang 6 m";batang;2267400;Material
;"Pipa galvanis  medium B  Ø 2""  panjang 6 m";batang;598800;Material
;"Pipa galvanis  medium B  Ø 5""  panjang 6 m";batang;2031000;Material
;"Pipa galvanis  medium B  Ø 6""  panjang 6 m";batang;2451200;Material
;"Pipa galvanis  medium B  Ø 8""  panjang 6 m";batang;3466200;Material
;"Pipa galvanis  medium Class  Ø 1 1/2"" +Aksesoris ";m';82466.66667;Material
;"Pipa galvanis MED CLASS ; DN. 1-1/2"" (40 mm) + fitting & aksesoris";m';82500;Material
;"Pipa galvanis  medium Class  Ø 1 1/4"" +Aksesoris ";m';80633.33333;Material
;"Pipa galvanis MED
CLASS ; DN. 1-1/4""
(32 mm) + fitting &
aksesoris";m';81000;Material
;"Pipa galvanis  medium Class Ø 1"" + Aksesoris";m';49850;Material
;"Pipa galvanis MED
CLASS ; DN. 1"" (25
mm) + fitting &
aksesoris";m';50000;Material
;"Pipa galvanis  medium Class Ø 1/2"" + Aksesoris";m';27583.33333;Material
;"Pipa galvanis MED CLASS ; DN. 1/2"" (15 mm) + fitting & aksesoris";m';28000;Material
;"Pipa galvanis  medium Class Ø 2"" +Aksesoris ";m';93600;Material
;"Pipa galvanis MED CLASS ; DN. 2"" (50 mm) + fitting & aksesoris";m';94000;Material
;"Pipa galvanis  medium Class Ø 2-1/2"" +Aksesoris ";m';94666.66667;Material
;"Pipa galvanis MED CLASS ; DN. 2-1/2"" (65 mm) + fitting & aksesoris";m';95000;Material
;"Pipa galvanis  medium Class Ø 3"" +Aksesoris ";m';175666.6667;Material
;"Pipa galvanis MED CLASS ; DN. 3"" (80 mm) + fitting & aksesoris";m';176000;Material
;"Pipa galvanis  medium Class Ø 3/4"" + Aksesoris ";m';35150;Material
;"Pipa galvanis MED CLASS ; DN. 3/4"" (20 mm) + fitting & aksesoris";m';36000;Material
;"Pipa galvanis  medium Class Ø 4"" +Aksesoris ";m';253366.6667;Material
;"Pipa galvanis MED CLASS ; DN. 4"" (100 mm) + fitting & aksesoris";m';253500;Material
;"Pipa galvanis  medium Class Ø 5"" +Aksesoris ";m';335700;Material
;"Pipa galvanis MED CLASS ; DN. 5"" (125 mm) + fitting & aksesoris";m';336000;Material
;"Pipa galvanis  medium Class Ø 6"" + Aksesoris ";m';265216.6667;Material
;"Pipa galvanis MED CLASS ; DN. 6"" (150 mm) + fitting & aksesoris";m';266000;Material
;"Pipa galvanis  medium Class Ø 8"" + Aksesois ";m';383400;Material
;"Pipa galvanis MED CLASS ; DN. 8"" (200 mm) + fitting & aksesoris";m';384000;Material
;"Pipa galvanis  medium Class Ø 10"" + Aksesois ";m';390500;Material
;"Pipa galvanis MED CLASS ; DN. 10"" (250 mm) + fitting & aksesoris";m';391000;Material
;"Pipa galvanis  medium Class Ø 12"" + Aksesois ";m';399500;Material
;"Pipa galvanis MED CLASS ; DN. 12"" (300 mm) + fitting & aksesoris";m';340000;Material
;"Pipa galvanis  medium Class Ø 14"" + Aksesois ";m';410500;Material
;"Pipa galvanis MED CLASS ; DN. 14"" (350 mm) + fitting & aksesoris";m';411000;Material
;"Pipa galvanis  medium Class Ø 16"" + Aksesois ";m';417500;Material
;"Pipa galvanis MED CLASS ; DN. 16"" (400 mm) + fitting & aksesoris";m';418000;Material
;"Pipa galvanis SCH 40 Ø 1/2"" + Aksesois ";m';39666.66667;Material
;"Pipa galvanis SCH 40 ; DN. 1/2"" (15 mm) + fitting & aksesoris";m';40000;Material
;"Pipa galvanis SCH 40 Ø 3/4"" + Aksesois ";m';47666.66667;Material
;"Pipa galvanis SCH 40 ; DN. 3/4"" (20 mm) + fitting & aksesoris";m';48000;Material
;"Pipa galvanis SCH 40 Ø 1"" + Aksesois ";m';66333.33333;Material
;"Pipa galvanis SCH 40 ; DN. 1"" (25 mm) + fitting & aksesoris";m';66500;Material
;"Pipa galvanis SCH 40 Ø 1-1/4"" + Aksesois ";m';88000;Material
;"Pipa galvanis SCH 40 ; DN. 1-1/4"" (32 mm) + fitting & aksesoris";m';88500;Material
;"Pipa galvanis SCH 40 Ø 1-1/2"" + Aksesois ";m';102500;Material
;"Pipa galvanis SCH 40 ; DN. 1-1/2"" (40 mm) + fitting & aksesoris";m';103000;Material
;"Pipa galvanis SCH 40 Ø 2"" + Aksesois ";m';188833.3333;Material
;"Pipa galvanis SCH 40 ; DN. 2"" (50 mm) + fitting & aksesoris";m';189000;Material
;"Pipa galvanis SCH 40 Ø 2-1/2"" + Aksesois ";m';205500;Material
;"Pipa galvanis SCH 40 ; DN. 2-1/2"" (65 mm) + fitting & aksesoris";m';206000;Material
;"Pipa galvanis SCH 40 Ø 3"" + Aksesois ";m';359666.6667;Material
;"Pipa galvanis SCH 40 ; DN. 3"" (80 mm) + fitting & aksesoris";m';360000;Material
;"Pipa galvanis SCH 40 Ø 4"" + Aksesois ";m';380500;Material
;"Pipa galvanis SCH 40 ; DN. 4"" (100 mm) + fitting & aksesoris";m';381000;Material
;"Pipa galvanis SCH 40 Ø 5"" + Aksesois ";m';505500;Material
;"Pipa galvanis SCH 40 ; DN. 5"" (125 mm) + fitting & aksesoris";m';502000;Material
;"Pipa galvanis SCH 40 Ø 6"" + Aksesois ";m';635500;Material
;"Pipa galvanis SCH 40 ; DN. 6"" (150 mm) + fitting & aksesoris";m';636000;Material
;"Pipa galvanis SCH 40 Ø 8"" + Aksesois ";m';987166.6667;Material
;"Pipa galvanis SCH 40 ; DN. 8"" (200 mm) + fitting & aksesoris";m';987500;Material
;"Pipa galvanis SCH 40 Ø 10"" + Aksesois ";m';1322166.667;Material
;"Pipa galvanis SCH 40 ; DN. 10"" (250 mm) + fitting & aksesoris";m';1322500;Material
;"Pipa galvanis SCH 40 Ø 12"" + Aksesois ";m';1405500;Material
;"Pipa galvanis SCH 40 ; DN. 12"" (300 mm) + fitting & aksesoris";m';1406000;Material
;"Pipa galvanis SCH 40 Ø 14"" + Aksesois ";m';1463833.333;Material
;"Pipa galvanis SCH 40 ; DN. 14"" (350 mm) + fitting & aksesoris";m';1464000;Material
;"Pipa galvanis SCH 40 Ø 16"" + Aksesois ";m';1501666.667;Material
;"Pipa galvanis SCH 40 ; DN. 16"" (400 mm) + fitting & aksesoris";m';1502000;Material
;"Pipa PPR PN 10 Ø 1/2"" + Aksesois ";m';16050;Material
;"Pipa PPR PN 10 ; DN. 1/2"" (15 mm) + fitting & aksesoris";m';16100;Material
;"Pipa PPR PN 10 Ø 3/4"" + Aksesois ";m';19475;Material
;"Pipa PPR PN 10 ; DN. 3/4"" (20 mm) + fitting & aksesoris";m';19700;Material
;"Pipa PPR PN 10 Ø 1"" + Aksesois ";m';28275;Material
;"Pipa PPR PN 10 ; DN. 1"" (25 mm) + fitting & aksesoris";m';28500;Material
;"Pipa PPR PN 10 Ø 1-1/4"" + Aksesois ";m';41875;Material
;"Pipa PPR PN 10 ; DN. 1-1/4"" (32 mm) + fitting & aksesoris";m';42000;Material
;"Pipa PPR PN 10 Ø 1-1/2"" + Aksesois ";m';62175;Material
;"Pipa PPR PN 10 ; DN. 1-1/2"" (40 mm) + fitting & aksesoris";m';62500;Material
;"Pipa PPR PN 10 Ø 2"" + Aksesois ";m';95500;Material
;"Pipa PPR PN 10 ; DN. 2"" (50 mm) + fitting & aksesoris";m';96000;Material
;"Pipa PPR PN 10 Ø 2-1/2"" + Aksesois ";m';131625;Material
;"Pipa PPR PN 10 ; DN. 2-1/2"" (65 mm) + fitting & aksesoris";m';132000;Material
;"Pipa PPR PN 10 Ø 3"" + Aksesois ";m';183275;Material
;"Pipa PPR PN 10 ; DN. 3"" (80 mm) + fitting & aksesoris";m';183500;Material
;"Pipa PPR PN 10 Ø 4"" + Aksesois ";m';276425;Material
;"Pipa PPR PN 10 ; DN. 4"" (100 mm) + fitting & aksesoris";m';276600;Material
;"Pipa PPR PN 10 Ø 6"" + Aksesois ";m';930025;Material
;"Pipa PPR PN 10 ; DN. 6"" (150 mm) + fitting & aksesoris";m';930500;Material
;"Pipa PPR PN 20 Ø 1/2"" + Aksesois ";m';20325;Material
;"Pipa PPR PN 20 ; DN. 1/2"" (15 mm) + fitting & aksesoris";m';931000;Material
;"Pipa PPR PN 20 Ø 3/4"" + Aksesois ";m';28525;Material
;"Pipa PPR PN 20 ; DN. 3/4"" (20 mm) + fitting & aksesoris";m';29000;Material
;"Pipa PPR PN 20 Ø 1"" + Aksesois ";m';43675;Material
;"Pipa PPR PN 20 ; DN. 1"" (25 mm) + fitting & aksesoris";m';44000;Material
;"Pipa PPR PN 20 Ø 1-1/4"" + Aksesois ";m';64625;Material
;"Pipa PPR PN 20 ; DN. 1-1/4"" (32 mm) + fitting & aksesoris";m';65000;Material
;"Pipa PPR PN 20 Ø 1-1/2"" + Aksesois ";m';98175;Material
;"Pipa PPR PN 20 ; DN. 1-1/2"" (40 mm) + fitting & aksesoris";m';98500;Material
;"Pipa PPR PN 20 Ø 2"" + Aksesois ";m';152625;Material
;"Pipa PPR PN 20 ; DN. 2"" (50 mm) + fitting & aksesoris";m';153000;Material
;"Pipa PPR PN 20 Ø 2-1/2"" + Aksesois ";m';214000;Material
;"Pipa PPR PN 20 ; DN. 2-1/2"" (65 mm) + fitting & aksesoris";m';214500;Material
;"Pipa PPR PN 20 Ø 3"" + Aksesois ";m';305375;Material
;"Pipa PPR PN 20 ; DN. 3"" (80 mm) + fitting & aksesoris";m';305500;Material
;"Pipa PPR PN 20 Ø 4"" + Aksesois ";m';453900;Material
;"Pipa PPR PN 20 ; DN. 4"" (100 mm) + fitting & aksesoris";m';454000;Material
;"Pipa PPR PN 20 Ø 6"" + Aksesois ";m';1534825;Material
;"Pipa PPR PN 20 ; DN. 6"" (150 mm) + fitting & akseso";m';1535000;Material
;"Pipa BS Ø 1/2"" + Aksesois ";m';30000;Material
;"Pipa BS MED CLASS ; DN. 1/2"" (15 mm) + fitting & aksesoris";m';30500;Material
;"Pipa BS Ø 3/4"" + Aksesois ";m';37000;Material
;"Pipa BS MED CLASS ; DN. 3/4"" (20 mm) + fitting & aksesoris";m';37500;Material
;"Pipa BS Ø 1"" + Aksesois ";m';52500;Material
;"Pipa BS MED CLASS ; DN. 1"" (25 mm) + fitting & aksesoris";m';53000;Material
;"Pipa BS Ø 1-1/4"" + Aksesois ";m';67500;Material
;"Pipa BS MED CLASS DN. 1-1/4"" (32 mm) + fitting & aksesoris";m';68000;Material
 ;"Pipa BS Ø 1-1/2"" + Aksesois ";m';76666.66667;Material
;"Pipa BS MED CLASS DN. 1-1/2"" (40 mm) + fitting & aksesoris";m';77000;Material
;"Pipa BS Ø 2"" + Aksesois ";m';102666.6667;Material
;"Pipa BS MED CLASS ; DN. 2"" (50 mm) + fitting & aksesoris";m';103000;Material
;"Pipa BS Ø 2-1/2"" + Aksesois ";m';129333.3333;Material
;"Pipa BS MED CLASS DN. 2-1/2"" (65 mm) + fitting & aksesoris";m';130000;Material
;"Pipa BS  Ø 3"" + Aksesois ";m';165500;Material
;"Pipa BS MED CLASS ; DN. 3"" (80 mm) + fitting & aksesoris";m';166000;Material
;"Pipa BS Ø 4"" + Aksesois ";m';237166.6667;Material
;"Pipa BS MED CLASS ; DN. 4"" (100 mm) + fitting & aksesoris";m';237500;Material
;"Pipa BS Ø 5"" + Aksesois ";m';317166.6667;Material
;"Pipa BS MED CLASS ; DN. 5"" (125 mm) + fitting & aksesoris";m';317500;Material
;"Pipa BS Ø 6"" + Aksesois ";m';376500;Material
;"Pipa BS MED CLASS ; DN. 6"" (150 mm) + fitting & aksesoris";m';377000;Material
;"Pipa BS Ø 8"" + Aksesois ";m';663000;Material
;"Pipa BS MED CLASS ; DN. 8"" (200 mm) + fitting & aksesoris";m';663500;Material
;"Pipa BS MED CLASS ; DN. 10"" (250 mm) + fitting & aksesoris";m';756000;Material
;"Pipa BS Ø 10"" + Aksesois ";m';755916.6667;Material
;"Pipa BS MED CLASS ; DN. 12"" (300 mm) + fitting & aksesoris";m';883000;Material
;"Pipa BS Ø 12"" + Aksesois ";m';882666.6667;Material
;"Pipa BS MED CLASS ; DN. 14"" (350 mm) + fitting & aksesoris";m';1086000;Material
;"Pipa BS Ø 14"" + Aksesois ";m';1085500;Material
;"Pipa BS MED CLASS ; DN. 16"" (400 mm) + fitting & aksesoris";m';1241000;Material
;"Pipa BS Ø 16"" + Aksesois ";m';1240500;Material
;"Pipa BS SCH 40 ; DN. 1/2"" (15 mm) + fitting & aksesoris";m';250000;Material
;"Pipa BS SCH 40 ; DN. 3/4"" (20 mm) + fitting & aksesoris";m';260000;Material
;"Pipa BS SCH 40 ; DN. 1-1/4"" (32 mm) + fitting & aksesoris";m';270000;Material
;"Pipa BS SCH 40 ; DN. 1-1/2"" (40 mm) + fitting & aksesoris";m';280000;Material
;"Pipa BS SCH 40 ; DN. 2"" (50 mm) + fitting & aksesoris";m';290000;Material
;"Pipa BS SCH 40 ; DN. 2-1/2"" (65 mm) + fitting & aksesoris";m';300000;Material
;"Pipa BS SCH 40 ; DN. 3"" (80 mm) + fitting & aksesoris";m';310000;Material
;"Pipa BS SCH 40 ; DN. 4"" (100 mm) + fitting & aksesoris";m';320000;Material
;"Pipa BS SCH 40 ; DN. 5"" (125 mm) + fitting & aksesoris";m';330000;Material
;"Pipa BS SCH 40 ; DN. 6"" (150 mm) + fitting & aksesoris";m';340000;Material
;"Pipa BS SCH 40 ; DN. 8"" (200 mm) + fitting & aksesoris";m';350000;Material
;"Pipa BS SCH 40 ; DN. 10"" (250 mm) + fitting & aksesoris";m';360000;Material
;"Pipa BS SCH 40 ; DN. 12"" (300 mm) + fitting & aksesoris";m';370000;Material
;"Pipa BS SCH 40 ; DN. 14"" (350 mm) + fitting & aksesoris";m';380000;Material
;"Pipa BS SCH 40 ; DN. 16"" (400 mm) + fitting & aksesoris";m';390000;Material
;"Pipa Tanah, DN. 6"" (150 mm";m';187500;Material
;"Pipa Tanah, DN. 8"" (200 mm)";m';205000;Material
;"Gate Valve dia. 1/2""";unit ;1500000;Material
;"Gate Valve dia. 3/4""";unit ;1700000;Material
;"Gate Valve dia. 1""";unit ;1900000;Material
;"Gate Valve dia. 1-1/4""";unit ;2050000;Material
;"Gate Valve dia. 1-1/2""";unit ;2125000;Material
;"Gate Valve dia.2""";unit ;2315000;Material
;"Gate Valve dia.2-1/2""";unit ;2475000;Material
;"Gate Valve dia.3""";unit ;2750000;Material
;"Gate Valve dia.4""";unit ;2995000;Material
;"Gate Valve dia.5""";unit ;3250000;Material
;"Gate Valve dia.6""";unit ;3570000;Material
;"Gate Valve dia.8""";unit ;3950000;Material
;"Gate Valve dia.10""";unit ;4210000;Material
;"Gate Valve dia.12""";unit ;4520000;Material
;"Gate Valve dia.6""";unit ;5750000;Material
;"Ball Velve dia. 1/2""";unit ;25000;Material
;"Ball Velve dia. 3/4""";unit ;36750;Material
;"Ball Velve dia. 1""";unit ;46100;Material
;"Ball Velve dia. 1-1/4""";unit ;68000;Material
;"Ball Velve dia. 1-1/2""";unit ;79000;Material
;"Ball Velve dia. 2""";unit ;118000;Material
;"Ball Velve dia. 2-1/2""";unit ;145000;Material
;"Ball Velve dia. 3""";unit ;215000;Material
;"Ball Velve dia. 4""";unit ;233300;Material
;"Check Velve dia. 1/2""";unit ;39000;Material
;"Check Velve dia. 3/4""";unit ;59000;Material
;"Check Velve dia. 1""";unit ;88350;Material
;"Check Velve dia. 1-1/4""";unit ;110960;Material
;"Check Velve dia. 1-1/2""";unit ;148960;Material
;"Check Velve dia. 2""";unit ;215460;Material
;"Check Velve dia. 2-1/2""";unit ;265000;Material
;"Check Velve dia. 3""";unit ;587000;Material
;"Check Velve dia. 4""";unit ;1440000;Material
;"Check Velve dia. 5""";unit ;2750000;Material
;"Check Velve dia. 6""";unit ;3050000;Material
;"Check Velve dia. 8""";unit ;3470000;Material
;"Check Velve dia. 10""";unit ;3680000;Material
;"Check Velve dia. 12""";unit ;3970000;Material
;"Strainer dia. 1/2""";unit ;36000;Material
;"Strainer dia. 3/4""";unit ;47000;Material
;"Strainer dia. 1""";unit ;59000;Material
;"Strainer dia. 1-1/4""";unit ;95600;Material
;"Strainer dia. 1-1/2""";unit ;143000;Material
;"Strainer dia. 2""";unit ;303600;Material
;"Strainer dia. 2-1/2""";unit ;415600;Material
;"Strainer dia. 3""";unit ;552000;Material
;"Strainer dia. 4""";unit ;809600;Material
;"Strainer dia. 5""";unit ;873000;Material
;"Strainer dia. 6""";unit ;970500;Material
;"Strainer dia. 8""";unit ;1260000;Material
;"Strainer dia. 10""";unit ;1540000;Material
;"Strainer dia. 12""";unit ;1670000;Material
;"Strainer dia. 14""";unit ;1820000;Material
;"Floater Velve dia. 1/2""";unit ;221000;Material
;"Floater Velve dia. 3/4""";unit ;250000;Material
;"Floater Velve dia. 1""";unit ;375000;Material
;"Floater Velve dia. 1-1/4""";unit ;485000;Material
;"Floater Velve dia. 1-1/2""";unit ;630000;Material
;"Floater Velve dia. 2""";unit ;870000;Material
;"Floater Velve dia. 2-1/2""";unit ;980000;Material
;"Floater Velve dia. 3""";unit ;1170000;Material
;"Floater Velve dia. 4""";unit ;1370000;Material
;"Floater Velve dia. 5""";unit ;1520000;Material
;"Floater Velve dia. 6""";unit ;1740000;Material
;"Floater Velve dia. 8""";unit ;1960000;Material
;"Floater Velve dia. 10""";unit ;2130000;Material
;"Floater Velve dia. 12""";unit ;2480000;Material
;"Foot Velve dia. 1/2""";unit ;21450;Material
;"Foot Velve dia. 3/4""";unit ;69400;Material
;"Foot Velve dia. 1""";unit ;83800;Material
;"Foot Velve dia. 1-1/4""";unit ;134600;Material
;"Foot Velve dia. 1-1/2""";unit ;202000;Material
;"Foot Velve dia. 2""";unit ;331300;Material
;"Foot Velve dia. 2-1/2""";unit ;348000;Material
;"Foot Velve dia. 3""";unit ;609000;Material
;"Foot Velve dia. 4""";unit ;870000;Material
;"Foot Velve dia. 5""";unit ;920500;Material
;"Foot Velve dia. 6""";unit ;1055000;Material
;"Foot Velve dia. 8""";unit ;1315000;Material
;"Foot Velve dia. 10""";unit ;1525000;Material
;"Foot Velve dia. 12""";unit ;1740000;Material
;"Foot Velve dia. 14""";unit ;1980000;Material
;"Flexible Joint dia. 1/2""";unit ;33600;Material
;"Flexible Joint dia. 3/4""";unit ;46500;Material
;"Flexible Joint dia. 1""";unit ;87500;Material
;"Flexible Joint dia. 1-1/4""";unit ;97800;Material
;"Flexible Joint dia. 1-1/2""";unit ;105700;Material
;"Flexible Joint dia. 2""";unit ;136500;Material
;"Flexible Joint dia. 2-1/2""";unit ;157900;Material
;"Flexible Joint dia. 3""";unit ;165400;Material
;"Flexible Joint dia. 4""";unit ;360000;Material
;"Flexible Joint dia. 5""";unit ;740900;Material
;"Flexible Joint dia. 6""";unit ;937500;Material
;"Flexible Joint dia. 8""";unit ;1050900;Material
;"Flexible Joint dia. 10""";unit ;1345000;Material
;"Flexible Joint dia. 12""";unit ;1678000;Material
;"Flexible Joint dia. 14""";unit ;1945000;Material
;"Butterfly Velve dia. 2""";unit ;136100;Material
;"Butterfly Velve dia. 2-1/2""";unit ;170700;Material
;"Butterfly Velve dia. 3""";unit ;276400;Material
;"Butterfly Velve dia. 4""";unit ;303600;Material
;"Butterfly Velve dia. 5""";unit ;515200;Material
;"Butterfly Velve dia. 6""";unit ;829300;Material
;"Butterfly Velve dia. 8""";unit ;1364500;Material
;"Butterfly Velve dia. 10""";unit ;1808900;Material
;"Butterfly Velve dia. 12""";unit ;2170800;Material
;"Globe Velve dia. 1/2""";unit ;104500;Material
;"Globe Velve dia. 3/4""";unit ;118000;Material
;"Globe Velve dia. 1""";unit ;140500;Material
;"Globe Velve dia. 1-1/4""";unit ;189900;Material
;"Globe Velve dia. 1-1/2""";unit ;252900;Material
;"Globe Velve dia. 2""";unit ;966300;Material
;"Globe Velve dia. 2-1/2""";unit ;1214300;Material
;"Globe Velve dia. 3""";unit ;1573100;Material
;"Globe Velve dia. 4""";unit ;2121400;Material
;"Globe Velve dia. 5""";unit ;3890000;Material
;"Globe Velve dia. 6""";unit ;4996000;Material
;"Globe Velve dia. 8""";unit ;5740000;Material
;"Pressure Gauge dia. 1/2""";unit ;58000;Material
;"Pressure Gauge dia. 1""";unit ;79800;Material
;"Pressure Gauge dia. 2""";unit ;123000;Material
;"Pressure Gauge dia. 2-1/2""";unit ;132700;Material
;"Pressure Gauge dia. 3""";unit ;165400;Material
;"Pressure Gauge dia. 4""";unit ;218500;Material
;"Water Meter dia. 1/2""";Bh ;270750;Material
;"Water Meter dia. 3/4""";Bh ;655914;Material
;"Water Meter dia. 1""";Bh ;1416800;Material
;"Water Meter dia. 1-1/2""";Bh ;1740600;Material
;"Water Meter dia. 2""";Bh ;2392000;Material
;"Water Meter dia. 3""";Bh ;2700000;Material
;"Water Meter dia. 4""";Bh ;2980000;Material
;"Water Meter dia. 6""";Bh ;3540900;Material
;"Water Meter dia. 8""";Bh ;3947000;Material
;"Water Meter dia. 10""";Bh ;4230900;Material
;"Water Meter dia. 12""";Bh ;4560000;Material
;"Water Meter dia. 16""";Bh ;4760900;Material
;"Flow Meter Analog dia.4""";bh ;2449000;Material
;"Clean Out dia. 2""";bh ;47500;Material
;"Clean Out dia. 2-1/2""";bh ;56700;Material
;"Clean Out dia. 3""";bh ;65000;Material
;"Clean Out dia. 4""";bh ;72500;Material
;"Clean Out dia. 5""";bh ;178900;Material
;"Clean Out dia. 6""";bh ;230880;Material
;"Clean Out dia. 8""";bh ;370000;Material
;"Roof Drain dia. 2""";Bh ;29800;Material
;"Roof Drain dia. 2-1/2""";Bh ;33925;Material
;"Roof Drain dia. 3""";Bh ;37375;Material
;"Roof Drain dia. 4""";Bh ;40250;Material
;"Roof Drain dia. 5""";Bh ;51700;Material
;"Roof Drain dia. 6""";Bh ;61100;Material
;"Roof Drain dia. 8""";Bh ;90250;Material
;"Roof Drain dia. 10""";Bh ;142500;Material
;"Roof Drain dia. 12""";Bh ;167500;Material
;"Floor Clean Out dia. 2""";Bh ;136800;Material
;"Floor Clean Out dia. 2-1/2""";Bh ;163100;Material
;"Floor Clean Out dia. 3""";Bh ;199500;Material
;"Floor Clean Out dia. 4""";Bh ;300300;Material
;"Floor Clean Out dia. 6""";Bh ;415500;Material
;"Floor Clean Out dia. 8""";Bh ;507600;Material
;"Vent Cap dia. 2""";Bh ;45000;Material
;"Vent Cap dia. 3""";Bh ;65000;Material
;"Vent Cap dia. 4""";Bh ;80000;Material
;"PRV set dia. 2""";Bh ;4900000;Material
;"PRV set dia. 2-1/2""";Bh ;5350000;Material
;"PRV Set dia. 3""";Bh ;7500000;Material
;"PRV set dia. 4""";Bh ;8450000;Material
;"PRV set dia. 6""";Bh ;8930000;Material
;"PRV set dia. 8""";Bh ;9430000;Material
;"AAV dia. 1/2""";unit ;250000;Material
;"AAV dia.1""";unit ;850000;Material
;"AAV dia. 2""";unit ;1050000;Material
;"AAV dia. 3""";unit ;1230800;Material
;"AAV dia. 4""";unit ;1432000;Material
;"AAV dia. 6""";unit ;1653000;Material
;"Vent Out dia. 2""";unit ;235000;Material
;WLC dan Pengkabelan ;unit ;81100;Material
;Pressure Switch ;unit ;220800;Material
;"Header Pipa PVC AW Dia. 4""";m';1325000;Material
;"Header Pipa Galvanis MED Class Dia. 4""";m';5600000;Material
;"Header Pipa BS SCH 40 Dia. 8""";m';3500000;Material
;"Header Pipa BS SCH 40 Dia. 10""";m';4600000;Material
;"Dop PVC dia. 3""";Bh ;9950;Material
;"Dop PVC dia. 4""";Bh ;19500;Material
;"Dop PVC dia. 6""";Bh ;28000;Material
;Pipa DCI dia. 100 mm;m';1083333.333;Material
;"Pipa DCI, DN. 4""
(100 mm)";m';1083000;Material
;Pipa DCI dia. 125 mm;m';1100000;Material
;"Pipa DCI, DN. 5""
(125 mm)";m';1100000;Material
;Pipa DCI dia. 150 mm;m';1300000;Material
;"Pipa DCI, DN. 6""
(150 mm)";m';1300000;Material
;Pipa DCI dia. 200 mm;m';1450000;Material
;"Pipa DCI, DN. 8""
(200 mm)";m';1450000;Material
;Pipa DCI dia. 250 mm;m';1570000;Material
;"Pipa DCI, DN. 10""
(250 mm)";m';1570000;Material
;Pipa DCI dia. 300 mm;m';1630000;Material
;"Pipa DCI, DN. 12""
(300 mm)";m';1640000;Material
;Pipa DCI dia. 400 mm;m';1780000;Material
;"Pipa DCI, DN. 16""
(400 mm)";m';1790000;Material
;Pipa DCI dia. 450 mm;m';1840000;Material
;"Pipa DCI, DN. 18""
(450 mm)";m';1850000;Material
;Pipa DCI dia. 500 mm;m';1950000;Material
;"Pipa DCI, DN. 20""
(500 mm)";m';1960000;Material
;Pipa DCI dia. 600 mm;m';2100000;Material
;"Pipa DCI, DN. 24""
(600 mm)";m';2115000;Material
;Pipa DCI dia. 800 mm;m';2350000;Material
;"Pipa DCI, DN. 32""
(800 mm)";m';2360000;Material
;Pipa DCI dia. 900 mm;m';2430000;Material
;"Pipa DCI, DN. 36""
(900 mm)";m';2440000;Material
;Pipa DCI dia. 1000 mm;m';2560000;Material
;"Pipa DCI, DN. 40""
(1000 mm)";m';2570000;Material
;Pipa DCI dia. 1100 mm;m';2720000;Material
;"Pipa DCI, DN. 44""
(1100 mm)";m';2730000;Material
;"Pipa DCI, DN. 48""
(1200 mm)";m';236000;Material
;Pipa Beton dia. 200 mm;m';235000;Material
;"Pipa Beton, DN. 8"" (200 mm)";m';236000;Material
;Pipa Beton dia. 300 mm;m';264000;Material
;"Pipa Beton, DN. 12"" (300 mm)";m';265000;Material
;Pipa Beton dia. 400 mm;m';285000;Material
;"Pipa Beton, DN. 16"" (400 mm)";m';286000;Material
