;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
3.13;PEKERJAAN BESI DAN ALUMINIUM;;;;;;;;;;;;;;
3.13.1;Pemasangan 1 m’ Shalimar Aluminium;;;;   Rp 88,800.00;   Catatan: ;;;;;;;;;
D;Jumlah (A+B+C);;;;444,091.25;;;;;;;;;;
E;Biaya Umum dan Keuntungan 10% - 15% x D;;;10%;44,409.13;;;;;;;;;;
F;Harga Satuan Pekerjaan (D+E);;;;488,500.38;;;;;;;;;;
;;;;;;;;;;;;;;;
3.13.5;Pembuatan dan pemasangan 1 m' railing tangga/ramp dan hand rail tinggi 0.85 m dan 0.65 m;;;;   Rp 301,300.00;; Revisi ;Perubahan Koefisien Tenaga keja da penambahan peralatan;;;;;;;
No;Uraian;Sat.;Koefisien;Harga  Satuan (Rp);Jumlah Harga (Rp);;;;;;;;;;
A;TENAGA KERJA;;;;;;;;;;;;;;
1;Pekerja;OH;0.2000;100,000.00;20,000.00;;;0.1000;;;;;;;
2;Tukang las;OH;0.1000;145,000.00;14,500.00;;;0.2000;;;;;;;
3;Kepala tukang;OH;0.0100;175,000.00;1,750.00;;;0.0200;;;;;;;
4;Mandor;OH;0.0033;200,000.00;660.00;;;0.0067;;;;;;;
JUMLAH HARGA TENAGA KERJA;;;;;36,910.00;;;;;;;;;;
B;BAHAN;;;;;;;;;;;;;;
1;Pipa besi hitam 3 inch;m';3.000;42,000.00;126,000.00;;;;;;;;;;
2;Pipa besi hitam 2 inch;m';2.000;31,000.00;62,000.00;;;;;;;;;;
3;Pipa besi hitam 1,5 inch;m';2.000;22,000.00;44,000.00;;;;;;;;;;
4;Cat zyncromate;kg;0.100;26,000.00;2,600.00;;;;;;;;;;
5;Kawat las;kg;0.050;45,550.00;2,277.50;;;;;;;;;;
JUMLAH HARGA BAHAN;;;;;236,877.50;;;;;;;;;;
C;PERALATAN;;;;;;;;;;;;;;
1;Alat Las Listrik ;kg;0.050;3,125.00;156.25;;;;;;;;;;
JUMLAH HARGA ALAT;;;;; 156 ;;;;;;;;;;
D;Jumlah (A+B+C);;;;273,943.75;;;;;;;;;;
E;Biaya Umum dan Keuntungan 10% - 15% x D;;;10%;27,394.38;;;;;;;;;;
F;Harga Satuan Pekerjaan (D+E);;;;301,338.13;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
3.13.6;Pemasangan 1 buah Tangga Service tinggi 4 meter ;;;;   Rp 1,998,200.00;; ada Revisi ;Perubaha di koefisien bahan;;;;;;;
No;Uraian;Sat.;Koefisien;Harga  Satuan (Rp);Jumlah Harga (Rp);;;;;;;;;;
A;TENAGA KERJA;;;;;;;;;;;;;;
1;Pekerja;OH;1.0000;100,000.00;100,000.00;;;;;;;;;;
2;Tukang alumunium;OH;0.5000;145,000.00;72,500.00;;;;;;;;;;
3;Kepala tukang;OH;0.0500;175,000.00;8,750.00;;;;;;;;;;
4;Mandor;OH;0.0167;200,000.00;3,340.00;;;;;;;;;;
JUMLAH HARGA TENAGA KERJA;;;;;184,590.00;;;;;;;;;;
B;BAHAN;;;;;;;;;;;;;;
1;Tangga service ;buah;1.000;1,144,000.00;1,144,000.00;;;3.000;;;;;;;
2;Dynabolt M12;buah;16.000;30,500.00;488,000.00;;;2.000;;;;;;;
JUMLAH HARGA BAHAN;;;;;1,632,000.00;;;;;;;;;;
C;PERALATAN;;;;;;;;;;;;;;
JUMLAH HARGA ALAT;;;;; - ;;;;;;;;;;
D;Jumlah (A+B+C);;;;1,816,590.00;;;;;;;;;;
E;Biaya Umum dan Keuntungan 10% - 15% x D;;;10%;181,659.00;;;;;;;;;;
F;Harga Satuan Pekerjaan (D+E);;;;1,998,249.00;;;;;;;;;;
;;;;;;;;;;;;;;;
